Sitename,CY 3-month Trend/Units of Work,PY adj 3-month Trend/Units of Work,% Change
4147-Carlyle - 8th Street,1.1655,0.405,187.43%
5151-Denver - Enterprise Park,3.2668,1.650,98.00%
3973-Milwaukee - U.S. Bank Center,2.8169,1.495,88.38%
6591-Earth City - 3180 Rider Trail,2.1354,1.134,88.36%
6343-St. Louis - Bissell Hills,2.3146,1.258,83.97%
3691-Iowa City - Washington,1.5587,0.919,69.54%
8691-The Dalles - Washington,1.6325,0.983,65.99%
8016-Great Falls - 10th Avenue HB,2.8342,1.727,64.09%
5717-Salt Lake City - County,2.3325,1.425,63.63%
8179-Bellevue - Highlands,1.2882,0.788,63.56%
7324-Fargo - West Acres & Drive-Up,3.8992,2.404,62.17%
3976-Milwaukee - Juneau Square,2.0658,1.277,61.75%
4760-Lombard,4.0855,2.544,60.59%
3080-Duluth - Kenwood,2.7497,1.715,60.32%
9078-Chester - Main,1.3545,0.856,58.26%
6449-Lake St. Louis - Lake St. Loui,2.2271,1.458,52.75%
1530-St. Paul - East,1.1062,0.728,51.89%
2307-Mentor - East,2.3798,1.571,51.49%
6474-Neelyville - Hwy 67,2.6236,1.732,51.45%
2918-Knoxville - Bearden,1.3718,0.908,51.07%
9758-Dana Point - Del Obispo,1.7550,1.162,50.97%
9095-Eureka - Henderson Center,0.7615,0.505,50.81%
6360-Cape Girardeau - William,1.7680,1.182,49.53%
8393-Warden - S Main,1.5363,1.032,48.83%
8621-Portland - Eastport,1.9970,1.345,48.48%
3358-Princeton,2.3554,1.587,48.40%
9699-San Diego - La Jolla Commons,0.0327,0.022,47.48%
5884-Council - Illinois,1.3403,0.909,47.38%
9010-Los Angeles - Boyle Heights,1.6355,1.112,47.05%
2415-Willoughby - Erie,1.7898,1.227,45.84%
8595-Ontario - SW First,1.2612,0.865,45.73%
9334-Santa Rosa - Montgomery Village,1.3563,0.935,45.06%
9744-Victorville - Bear Valley,1.9767,1.374,43.86%
4224-Normal - Bloomington,2.1801,1.522,43.28%
7626-Moriarty - Route 66,2.2585,1.581,42.84%
4374-Chicago - Englewood DU,4.0820,2.863,42.59%
5887-Emmett - S. Washington,1.6226,1.142,42.04%
5900-Jerome - S Lincoln,0.9363,0.663,41.24%
9160-Twain Harte - Twain Harte Driv,1.1407,0.811,40.73%
9072-Arcata - G Street,1.0751,0.765,40.59%
8338-Seattle - White Center,0.7933,0.565,40.37%
9332-Santa Cruz,1.2362,0.884,39.89%
7767-Omaha - Grover,1.7253,1.244,38.71%
9285-Benicia,1.2275,0.885,38.69%
8080-Billings - West,1.0091,0.728,38.61%
2167-Columbus - Bexley,1.3524,0.978,38.27%
4161-Cobden - Marion,1.6121,1.173,37.45%
3186-St. Cloud - Midtown,0.8671,0.635,36.54%
2112-Cincinnati - Norwood,1.2823,0.943,36.04%
8989-Signal Hill - Cherry Ave,1.7613,1.297,35.82%
5425-Orem - 1220 S State,2.1958,1.619,35.66%
5772-Elko - Main,1.5923,1.175,35.55%
3641-Centerville - Jackson St,0.3699,0.273,35.40%
8322-Seattle - Magnolia,1.3041,0.964,35.30%
8883-Los Angeles - La Brea,1.7124,1.273,34.48%
9734-Sun City,2.2420,1.672,34.11%
8577-Medford - North Medford,1.6360,1.224,33.62%
9110-Loomis - Taylor,1.4497,1.086,33.46%
5633-Lakewood - Green Mountain,1.2392,0.931,33.17%
2205-East Cleveland - Forest Hills,1.2840,0.967,32.75%
1812-Columbia Heights,1.3458,1.015,32.63%
6890-Prairie Village - 95th Street,3.7807,2.852,32.54%
4564-Paducah - 333 Broadway (Main),1.8963,1.434,32.22%
