Avg Annual Use Per SQFT,SquareFoot,Site Name,% of Change
58.93626709677402,200,4018-Sheboygan - Center Avenue DU,-49.67%
113.57992857142857,224,8266-Othello - 7th & Main DU,-1.34%
114.08918367346936,294,2457-Ironton - Autobank,-7.37%
84.06813742690062,342,8184-Bellingham - Meridian DU,-28.69%
31.159,383,3616-Ames - University Drive-up,7.51%
8.676535000000001,400,4622-Hodgenville - Walters Ave,-19.49%
51.15746814,408,3188-Little Falls - Drive-Up,21.97%
51.817406382978724,470,4352-Richmond - 8th Street Drive-up,-48.37%
13.91511382113821,492,3665-Des Moines - Drake Drive-Up,-23.62%
0,500,4015-Rice Lake-West Eau Claire DU,0.00%
34.87880333333334,600,7746-Norfolk - Drive-Up,8.04%
36.018706944444446,720,5154-Aurora - Galena St,-22.73%
2.6012100000000005,800,5143-Vail,-94.04%
3.919815598548972,827,1129-Southampton - Hampton Rd,-57.19%
18.134077373974204,853,3893-Madison - University Square,5.48%
40.345208518518554,900,2350-Portsmouth - Gay Street,8.60%
38.35072600000001,1000,3643-Chariton - Court Ave DU,-19.25%
45.151132942326484,1023,4565-Paducah - Kentucky Oaks,-16.38%
22.824923511904732,1120,6474-Neelyville - Hwy 67,53.50%
21.277846717994862,1148,8843-Milpitas - Seafood City,35.26%
44.46813504273504,1170,4272-Winnebago - N Elida,-6.42%
40.19070888888888,1200,2251-Hillsboro - North High,6.93%
19.5247464,1250,9164-Weed - Main,13.59%
65.70528253580729,1260,4218-Naperville - Jefferson Ave DU,-9.94%
25.64579905063291,1264,1700-Hopkins - Autobank,-9.09%
8.111415564202334,1285,5963-Fairfield - Soldier Road,15.38%
19.382873683667142,1336,9858-Bakersfield- Coffee Road,25.68%
18.882329850746267,1340,3695-Maquoketa - West Platt,-5.31%
19.406500740740743,1350,2321-Monroe - Route 63,7.81%
30.458017857142863,1400,3654-Davenport - Division Street,20.26%
18.48707567,1414,1737-Excelsior-Excelsior Marketplace,-2.80%
4.183785521,1478,5815-Gardnerville,12.83%
24.89771695833334,1500,3748-Waterloo - Commercial St,0.29%
16.82622950819672,1525,4344-Lawrenceburg - Aurora Road,1.70%
44.88767136450994,1561,4374-Chicago - Englewood DU,57.32%
22.472783524904223,1566,6871-Kansas City - Parallel Pkwy,-44.11%
26.634176507936505,1575,2233-Gallipolis - Silver Bridge,-3.34%
22.23382178841311,1588,4412-Sauk Village - Sauk Trail,16.84%
16.68262068965517,1595,3998-North Fond du Lac,-33.64%
18.274319548872185,1596,6645-Hot Springs - Mall,-0.54%
19.99321603005636,1597,1739-Mound - Mount Marketplace,-5.71%
16.199533125000002,1600,8283-Quilcene - Center Road,-9.29%
16.678451692307693,1625,9776-Palmdale - Palmdale Blvd,10.45%
33.03150424757282,1648,7608-Albuquerque - Nob Hill,4.43%
28.350330909090903,1650,6507-Sedalia - State Fair,1.81%
26.85459698896612,1660,6475-Neosho - Neosho Blvd,-1.05%
11.686250140126422,1669,9334-Santa Rosa - Montgomery Village,56.04%
20.886112038140645,1678,2483-Washington Court House,-2.19%
13.524561706349226,1680,4456-Flemingsburg - Windsor,-3.25%
41.69546627,1685,4054-Wisconsin Rapids - Johnson DU,-32.01%
21.204198934280637,1689,6876-Lawrence - 9th & TN St.,11.74%
23.693317647058816,1700,3364-Sauk Rapids,27.77%
21.328762463343104,1705,2336-North Royalton - State Road,-2.06%
25.671591067285373,1724,4353-Richmond - 2909 East Main,-6.50%
27.833182245500915,1752,6472-Monett - Hwy 60,-8.76%
26.050614814814818,1755,4770-Chicago - North Ave DU,0.31%
35.35826303854876,1764,8150-Helena Autobank,-12.56%
10.303390476190476,1785,8222-Granger - Main,-47.96%
22.85394546296298,1800,4436-Bowling Green - Northgate,5.12%
14.774806201550383,1806,8802-Evanston,8.47%
17.600200885445492,1807,4490-Lexington - Richmond,-2.78%
21.753623475717827,1820,4590-Shelbyville - Midland Trail,-1.91%
21.231640547945204,1825,2242-Hamilton - High & Journal DU,-14.12%
25.300681594756963,1831,8205-Enumclaw - Cole,-15.67%
29.585698719423355,1863,2274-Lebanon - Columbus,-20.58%
11.508900105708248,1892,6082-Hartford,22.48%
32.39796263157894,1900,2826-Franklin - Hwy 96,-1.26%
15.453072916666668,1920,5658-Pueblo - Belmont Drive Up,2.61%
13.559041336474639,1932,9110-Loomis - Taylor,39.04%
15.230748010610101,1950,3696-Marion - 31st Street,-5.23%
31.493671771311895,1959,2315-Middletown - Roosevelt,21.41%
29.223204383282372,1962,4152-Chicago - Austin,-9.91%
17.641842451874364,1974,6464-Marshfield - 759 Jackson,1.66%
29.06639839034205,1988,8190-Blaine - Third & H,-18.38%
15.16455628,1996,2020-Ada - South Main,8.17%
22.536365498862335,2000,2039-Avon Lake - Walker,-12.15%
11.660672663668166,2001,8446-Aptos - Rancho Del Mar,-4.78%
34.17941135458168,2008,4131-Alton - North,2.73%
20.18801308778686,2010,3640-Centerville - 18th St DU,-11.78%
26.927068608094768,2026,5168-Westminster - Church Ranch,6.48%
13.078544647261964,2027,9078-Chester - Main,41.90%
24.423503448275863,2030,4506-Louisville - Highlands,-7.43%
9.267351006381936,2037,4023-Siren - Hwy 35-70,-60.03%
12.639888149919189,2048,9122-Paradise - Skyway,-0.55%
20.031777237354092,2056,8259-Mt. Vernon - Riverside,1.66%
13.357528182701651,2058,2382-Sugar Creek - Factory,-34.42%
4.818950994662786,2061,1868-Warren - Liberty Corner,2.46%
24.652665884211906,2083,2370-Solon - Som Center,-17.73%
14.753666027791091,2087,3802-Altoona,12.49%
23.13624363632157,2091,4257-Springfield - South 6th,10.29%
23.714496183206112,2096,8156-Vancouver - Orchards,3.31%
21.242442380952383,2100,2154-Cleveland - Harvard,-29.73%
4.887784564,2112,4006-Portage - Edgewater Drive-up,-50.00%
28.052546904315207,2132,2411-Wheelersburg - Center Street,-7.87%
17.800818989710013,2138,7815-Lincoln - 10th & Hwy 2,-34.31%
26.72062996,2143,2031-Amelia - Ohio Pike,-4.42%
15.222193383038208,2146,6554-St. Louis - North Kingshighway,-27.56%
11.447104291647438,2167,2524-Columbus - German Village Relo,14.39%
28.450218702173224,2178,4341-Hagerstown - West Main,16.40%
30.876757783882795,2184,8390-Veradale - Sprague & Sullivan,-24.07%
4.486370776255708,2190,7600-Albuquerque - Carlisle,-38.73%
19.192010018214933,2196,8930-Campbell - S Bascom,18.05%
21.235701202346032,2200,1736-Roseville - Roseville Center,10.27%
5.461887041690844,2217,2259-Hudson - North Main,-37.42%
8.996973624887286,2218,3040-Babbitt,1.77%
13.774870324870314,2220,6351-Bolivar - Springfield,-2.46%
15.595600894854586,2235,4485-Lexington - Eastland,-6.62%
15.86408258928571,2240,2162-Cleveland - South Garfield,-18.59%
25.39853777777778,2250,3000-Austin - Autobank,7.58%
18.719972074468078,2256,3638-Cedar Rapids - Vernon Village,0.16%
23.26257687195392,2257,4039-Wautoma - Oshkosh,2.39%
